fieldwork_team	point_code	type	measurement_date	db_ref	user_reference	recording_givid
inbo	1117877_1	10	16667	1117877	1117877	circle: IV2017010616345212; square: IV2017010616415877
inbo	472065_1	10	16671	472065	472065	circle: IV2017010613314127; square: IV2017010613424129
inbo	996353_2	10	16671	996353	996353	circle: IV2017010612172361; square: IV2017010612593713
inbo	1749942_2	80	16695	1749942	1749942	circle: IV2017021712024375; square: IV2017021712152647
inbo	2225078_2	80	16696	2225078	2225078	circle: IV2017021716580390; square: IV2017021717285026
inbo	702674_1	82	16696	702674	702674	circle: IV2017021712211026; square: IV2017021712361732
inbo	1635254_1	80	16699	1635254	1635254	circle: IV2017021716250537; square: IV2017021716440979
inbo	3219382_2	80	16699	3219382	3219382	circle: IV2017021710412000; square: IV2017021710534965
inbo	3732406_2	80	16699	3732406	3732406	circle: IV2017021712570028; square: IV2017021713122588
inbo	2839602_2	55	16960	2839602	2839602	circle: IV2017022316243012; square: IV2017022318064503
inbo	10766985_2	55	16961	10766985	10766985	circle: IV2017020309560065; square: IV2017020310250354
inbo	4390190_1	56	16962	4390190	4390190	circle: IV2017012715235876; square: IV2017012715472176
inbo	2479154_2	55	16968	2479154	2479154	circle: IV2017022414255992; square: IV2017022414402631
inbo	742450_2	55	16968	742450	742450	circle: IV2017022410260914; square: IV2017022410371769
inbo	4026418_2	55	16970	4026418	4026418	circle: IV2017021716013587; square: IV2017021717085050
inbo	1436718_2	51	16972	1436718	1436718	circle: IV2017012713261758; square: IV2017012714021766
inbo	2334002_1	55	16972	2334002	2334002	circle: IV2017022413245704; square: IV2017022413445592
inbo	201006_2	52	16979	201006	201006	circle: IV2017012010235498; square: IV2017012011231757
inbo	530734_1	52	16979	530734	530734	circle: IV2017010511460749; square: IV2017010512181008
inbo	842030_1	52	16979	842030	842030	circle: IV2017010510420097; square: IV2017010511152189
inbo	398529_2	55	16980	398529	398529	circle: IV2017020312255416; square: IV2017020313004098
inbo	143602_2	55	16983	143602	143602	circle: IV2017022415170190; square: IV2017022415353736
inbo	2160774_2	55	16988	2160774	2160774	circle: IV2017022310474384; square: IV2017022315312444
inbo	5783154_2	55	16994	5783154	5783154	circle: IV2017022012400428; square: IV2017022013121858
inbo	2552882_2	55	16995	2552882	2552882	circle: IV2017021521415567; square: IV2017021521571275
inbo	2371634_2	55	17000	2371634	2371634	circle: IV2017022009530029; square: IV2017022010250767
inbo	1150886_2	51	17001	1150886	1150886	circle: IV2017012615432844; square: IV2017012620054742
inbo	1216422_1	51	17001	1216422	1216422	circle: IV2017012620463014; square: IV2017012620573892
inbo	1583446_1	55	17001	1583446	1583446	circle: IV2017022011083153; square: IV2017022011205318
inbo	2133734_1	51	17008	2133734	2133734	circle: IV2017011915010675; square: IV2017011916185487
inbo	3777298_1	55	17009	3777298	3777298	circle: IV2017021512174228; square: IV2017021513172295
inbo	1062930_1	55	17010	1062930	1062930	circle: IV2017021415534916; square: IV2017021416154407
inbo	323154_2	52	17011	323154	323154	circle: IV2017011212263384; square: IV2017011215122813
inbo	540658_2	52	17011	540658	540658	circle: IV2017011814163232; square: IV2017011816230130
inbo	721906_1	50	17011	721906	721906	circle: IV2017011813083530; square: IV2017011813535331
inbo	1884126_2	51	17015	1884126	1884126	circle: IV2017021417070556; square: IV2017021417294457
inbo	781906_2	52	17016	781906	781906	circle: IV2017011312251730; square: IV2017011812094287
inbo	1474526_2	51	17017	1474526	1474526	circle: IV2017021416262329; square: IV2017021416585251
inbo	423762_2	50	17030	423762	423762	circle: IV2017010611111454; square: IV2017010613221989
inbo	141010_1	50	17031	141010	141010	circle: IV2017012521020429; square: IV2017012521104081
inbo	220882_1	50	17031	220882	220882	circle: IV2017012611170830; square: IV2017012611360478
inbo	583378_1	50	17031	583378	583378	circle: IV2017011916524752; square: IV2017011919322195
inbo	59090_1	50	17031	59090	59090	circle: IV2017012522043706; square: IV2017012522232265
inbo	648914_1	50	17031	648914	648914	circle: IV2017012613411763; square: IV2017012613530004
inbo	745170_1	50	17031	745170	745170	circle: IV2017012312301685; square: IV2017012312531726
inbo	89810_1	50	17031	89810	89810	circle: IV2017012613001528; square: IV2017012613170767
inbo	487606_1	51	17032	487606	487606	circle: IV2017020211023566; square: IV2017020211373000
inbo	606390_1	52	17032	606390	606390	circle: IV2017020211533870; square: IV2017020212290721
inbo	1711014_1	50	17036	1711014	1711014	circle: IV2017020116071546; square: IV2017020120160542
inbo	3276198_2	51	17036	3276198	3276198	circle: IV2017020121010797; square: IV2017020121221303
inbo	1346134_2	55	17037	1346134	1346134	circle: IV2017021416061568; square: IV2017021416161173
inbo	979286_2	51	17037	979286	979286	circle: IV2017021415415208; square: IV2017021415590760
inbo	1115122_2	52	17038	1115122	1115122	circle: IV2017013013460448; square: IV2017013015085454
inbo	340978_1	52	17038	340978	340978	circle: IV2017013110020007; square: IV2017020111393906
inbo	498886_2	55	17038	498886	498886	circle: IV2017021413520341; square: IV2017021414091295
inbo	619506_1	50	17038	619506	619506	circle: IV2017013015545827; square: IV2017013016040477
inbo	654598_2	50	17038	654598	654598	circle: IV2017021414213854; square: IV2017021414350820
inbo	2173889_2	55	17043	2173889	2173889	circle: IV2017020308164723; square: IV2017020308555607
inbo	315329_1	50	17043	315329	315329	circle: IV2017012015481765; square: IV2017012016215306
inbo	4008897_2	55	17043	4008897	4008897	circle: IV2017020309175600; square: IV2017020309320429
inbo	300649_1	51	17044	300649	300649	circle: IV2017012016374726; square: IV2017012016550624
inbo	1436882_2	51	17046	1436882	1436882	circle: IV2017011816484258; square: IV2017011817212208
inbo	1566033_2	51	17049	1566033	1566033	circle: IV2017012709211647; square: IV2017012709294069
inbo	58433_2	52	17049	58433	58433	circle: IV2017012712420281; square: IV2017012713022515
inbo	116950_1	50	17050	116950	116950	circle: IV2017012013020416; square: IV2017012013095674
inbo	379094_1	50	17050	379094	379094	circle: IV2017012012273378; square: IV2017012012433410
inbo	641238_1	50	17050	641238	641238	circle: IV2017012013475483; square: IV2017012013585970
inbo	19510_2	52	17052	19510	19510	circle: IV2017010616490548; square: IV2017010617551993
inbo	627922_2	52	17053	627922	627922	circle: IV2017013011553027; square: IV2017013012265239
inbo	857298_2	52	17053	857298	857298	circle: IV2017013011050597; square: IV2017013011141972
inbo	87250_2	52	17053	87250	87250	circle: IV2017013013060304; square: IV2017013013143717
inbo	2760937_1	55	17056	2760937	2760937	circle: IV2017012716313882; square: IV2017012716564741
inbo	170798_2	82	17057	170798	170798	circle: IV2017020318560367; square: IV2017020319064156
inbo	267986_2	80	17057	267986	267986	circle: IV2017021513174412; square: IV2017021513305863
inbo	482290_1	80	17057	482290	482290	circle: IV2017021513022196; square: IV2017021513104974
inbo	576302_2	52	17057	576302	576302	circle: IV2017012017101191; square: IV2017012017312649
inbo	923346_2	80	17057	923346	923346	circle: IV2017021514080638; square: IV2017021514480221
inbo	282614_2	80	17058	282614	282614	circle: IV2017020318100730; square: IV2017020318234508
inbo	3461110_2	51	17058	3461110	3461110	circle: IV2017012714260737; square: IV2017012715091042
inbo	856054_1	80	17058	856054	856054	circle: IV2017020318315989; square: IV2017020318480754
inbo	103094_2	80	17059	103094	103094	circle: IV2017021515592266; square: IV2017021516075256
inbo	271030_1	80	17059	271030	271030	circle: IV2017021515354295; square: IV2017021515505552
inbo	908981_1	10	17059	908981	908981	circle: IV2017010609200485; square: IV2017010609352959
inbo	23086_1	82	17063	23086	23086	circle: IV2017012711062779; square: IV2017012711193298
inbo	743982_1	51	17063	743982	743982	circle: IV2017012711292443; square: IV2017012711431363
inbo	753630_2	51	17063	753630	753630	circle: IV2017021414444810; square: IV2017021415171476
inbo	1013294_2	80	17064	1013294	1013294	circle: IV2017020813265807; square: IV2017020813570832
inbo	1087350_2	80	17064	1087350	1087350	circle: IV2017021710141595; square: IV2017021710262223
inbo	696182_1	80	17064	696182	696182	circle: IV2017012612213288; square: IV2017012613110316
inbo	959958_1	82	17064	959958	959958	circle: IV2017021516164241; square: IV2017021516261649
inbo	518902_2	80	17065	518902	518902	circle: IV2017020814143501; square: IV2017020814462786
inbo	419538_1	82	17067	419538	419538	circle: IV2017021514542213; square: IV2017021515052872
inbo	943826_1	82	17072	943826	943826	circle: IV2017021515123500; square: IV2017021515263591
inbo	880094_2	82	17081	880094	880094	circle: IV2017021511480087; square: IV2017021512035316
inbo	7072966_1	55	17315	7072966	7072966	circle: IV2017120118342938; square: IV2017120118520910
inbo	8121542_1	55	17315	8121542	8121542	circle: IV2017120117561385; square: IV2017120118231406
inbo	8158406_2	55	17315	8158406	8158406	circle: IV2017120114521398; square: IV2017120117414722
inbo	6102322_1	55	17325	6102322	6102322	circle: IV2018082407540429; square: IV2018082408442571
inbo	6194105_2	55	17337	6194105	6194105	circle: IV2017113010285455; square: IV2017113011505228
inbo	1660950_1	51	17340	1660950	1660950	circle: IV2017112914094613; square: IV2017112914372721
inbo	1428270_1	52	17343	1428270	1428270	circle: IV2017112913404044; square: IV2017112913583445
inbo	1040518_1	52	17346	1040518	1040518	circle: IV2017120112213868; square: IV2017120112565263
inbo	2334854_2	51	17346	2334854	2334854	circle: IV2017120111560343; square: IV2017120112090282
inbo	4599942_2	55	17346	4599942	4599942	circle: IV2017120111214650; square: IV2017120111463956
inbo	1367026_2	82	17347	1367026	1367026	circle: IV2018031009120638; square: IV2018031009213148
inbo	1404382_1	82	17347	1404382	1404382	circle: IV2020032710574043; square: IV2020032711023789
inbo	783954_1	50	17347	783954	783954	circle: IV2018030715412818; square: IV2018030715551163
inbo	6948370_1	55	17350	6948370	6948370	circle: IV2018030714024007; square: IV2018030714233862
inbo	1140434_2	80	17351	1140434	1140434	circle: IV2018030719161925; square: IV2018030719244841
inbo	589698_3	53	17353	589698	589698	circle: IV2018030712002428; square: IV2018082008574310
inbo	1132201_2	80	17357	1132201	1132201	circle: IV2020032711173507; square: IV2020032712091388
inbo	1468114_1	82	17357	1468114	1468114	circle: IV2018030719311738; square: IV2018030719484292
inbo	5624882_2	55	17357	5624882	5624882	circle: IV2018030711143521; square: IV2018030711265492
inbo	823129_1	51	17357	823129	823129	circle: IV2017112912245580; square: IV2017112912580483
inbo	1036446_2	51	17359	1036446	1036446	circle: IV2017112908192809; square: IV2017112908460816
inbo	5630310_2	55	17366	5630310	5630310	circle: IV2018030610544440; square: IV2018030613174547
inbo	7203174_1	55	17366	7203174	7203174	circle: IV2018030614095561; square: IV2018030614122464
inbo	2133926_2	51	17367	2133926	2133926	circle: IV2018030511543075; square: IV2018030512111847
inbo	2264998_2	51	17367	2264998	2264998	circle: IV2018030513285216; square: IV2018030513530737
inbo	3734950_2	52	17367	3734950	3734950	circle: IV2018030514502970; square: IV2018030514594211
inbo	222518_1	80	17372	222518	222518	circle: IV2018031010111411; square: IV2018031010191687
inbo	369974_1	80	17372	369974	369974	circle: IV2018031112563585; square: IV2018031113042338
inbo	5253462_1	55	17372	5253462	5253462	circle: IV2018030509282854; square: IV2018030510512619
inbo	1443378_2	52	17374	1443378	1443378	circle: IV2018022813474152; square: IV2018030220035638
inbo	332786_2	52	17374	332786	332786	circle: IV2018030221003731; square: IV2018030221161700
inbo	1085366_2	52	17378	1085366	1085366	circle: IV2018030414484080; square: IV2018030415500950
inbo	1576886_2	82	17378	1576886	1576886	circle: IV2018031015311631; square: IV2018031021192601
inbo	717750_1	82	17378	717750	717750	circle: IV2018031113221134; square: IV2018031113285776
inbo	309458_2	51	17395	309458	309458	circle: IV2018030417514439; square: IV2018030418071744
inbo	471990_1	80	17395	471990	471990	circle: IV2018031108343898; square: IV2018031109022283
inbo	983990_1	52	17395	983990	983990	circle: IV2018030416111323; square: IV2018030416251801
inbo	2813697_1	52	17434	2813697	2813697	circle: IV2017120113271520; square: IV2017120114192219
inbo	1348277_1	10	17438	1348277	1348277	circle: IV2017120107565546; square: IV2017120108115051
inbo	1403657_2	10	17438	1403657	1403657	circle: IV2017120109300668; square: IV2017120111004036
inbo	299701_1	10	17438	299701	299701	circle: IV2017120108515000; square: IV2017120109032402
inbo	1829622_2	80	17666	1829622	1829622	circle: IV2019010911142819; square: IV2019010911305760
inbo	107830_2	80	17681	107830	107830	circle: IV2019020510392459; square: IV2019020510571326
inbo	1512886_2	80	17681	1512886	1512886	circle: IV2019020512391292; square: IV2019020512553396
inbo	1627010_2	53	17682	1627010	1627010	circle: IV2019031107334255; square: IV2019031107520890
inbo	1642233_2	55	17682	1642233	1642233	circle: IV2019010208003898; square: IV2019010208185391
inbo	3134649_2	51	17682	3134649	3134649	circle: IV2019010209232641; square: IV2019010209450232
inbo	8363961_2	55	17683	8363961	8363961	circle: IV2019022114385849; square: IV2019022114510668
inbo	3424742_2	51	17686	3424742	3424742	circle: IV2019022009580729; square: IV2019022010492413
inbo	9189270_1	55	17686	9189270	9189270	circle: IV2019010215101106; square: IV2019010215472640
inbo	1634546_1	50	17687	1634546	1634546	circle: IV2019030512211555; square: IV2019030512341370
inbo	2011870_2	82	17687	2011870	2011870	circle: IV2019010315434974; square: IV2019010315520211
inbo	1498102_2	80	17688	1498102	1498102	circle: IV2019010406260429; square: IV2019010406365884
inbo	6770678_1	51	17688	6770678	6770678	circle: IV2019010218340961; square: IV2019010218475304
inbo	6792238_1	52	17688	6792238	6792238	circle: IV2019010216252659; square: IV2019010216405649
inbo	1839666_1	80	17689	1839666	1839666	circle: IV2019020509150134; square: IV2019020510153108
inbo	5408201_2	55	17689	5408201	5408201	circle: IV2019012515324710; square: IV2019012515495181
inbo	3013714_2	45	17690	3013714	3013714	circle: IV2019030514081723; square: IV2019030514375356
inbo	3275858_2	45	17690	3275858	3275858	circle: IV2019030514525522; square: IV2019030515422067
inbo	1381569_2	51	17694	1381569	1381569	circle: IV2019021214331564; square: IV2019021214520710
inbo	1392705_2	51	17694	1392705	1392705	circle: IV2018121216433080; square: IV2018121218533825
inbo	1409089_2	51	17694	1409089	1409089	circle: IV2018121816405213; square: IV2018121817031507
inbo	2981953_2	51	17694	2981953	2981953	circle: IV2018121813400651; square: IV2018121814202946
inbo	4576306_1	55	17694	4576306	4576306	circle: IV2019020811552696; square: IV2019020812125743
inbo	6528306_1	55	17694	6528306	6528306	circle: IV2019021809433664; square: IV2019021811453524
inbo	81985_1	51	17694	81985	81985	circle: IV2018121811574327; square: IV2018121812191520
inbo	9655346_1	55	17694	9655346	9655346	circle: IV2019020810390261; square: IV2019020811023605
inbo	1249582_1	50	17695	1249582	1249582	circle: IV2018121815134218; square: IV2018121815460288
inbo	1677870_2	82	17695	1677870	1677870	circle: IV2019010406472400; square: IV2019010407103073
inbo	1887022_2	52	17695	1887022	1887022	circle: IV2018121815572118; square: IV2018121816195764
inbo	3002670_1	51	17695	3002670	3002670	circle: IV2018121814434064; square: IV2018121815031430
inbo	480306_1	55	17695	480306	480306	circle: IV2019020910455730; square: IV2019020910570357
inbo	9131058_1	55	17695	9131058	9131058	circle: IV2019021909195430; square: IV2019021909560725
inbo	1461001_2	10	17696	1461001	1461001	circle: IV2019011414351048; square: IV2019011415092985
inbo	1667357_2	10	17696	1667357	1667357	circle: IV2019010315193502; square: IV2019010315285888
inbo	6509618_1	55	17696	6509618	6509618	circle: IV2019021912262072; square: IV2019021912454923
inbo	2447382_2	51	17700	2447382	2447382	circle: IV2019010308222329; square: IV2019010308412535
inbo	6549737_2	55	17700	6549737	6549737	circle: IV2019010218580676; square: IV2019010219091816
inbo	1107666_1	50	17701	1107666	1107666	circle: IV2019031108122062; square: IV2019031108341174
inbo	1255122_1	50	17701	1255122	1255122	circle: IV2019020716030884; square: IV2019020808585406
inbo	1269458_1	50	17701	1269458	1269458	circle: IV2019020809404178; square: IV2019020809510944
inbo	7394534_1	55	17701	7394534	7394534	circle: IV2019020612581446; square: IV2019020613402086
inbo	8705254_1	55	17701	8705254	8705254	circle: IV2019020609412094; square: IV2019020612275238
inbo	8220722_2	55	17702	8220722	8220722	circle: IV2019020714420536; square: IV2019020715455743
inbo	3405958_1	51	17707	3405958	3405958	circle: IV2019022714201370; square: IV2019022715350593
inbo	6213542_2	55	17707	6213542	6213542	circle: IV2019021914301511; square: IV2019021914494248
inbo	6529158_2	55	17708	6529158	6529158	circle: IV2019022610090643; square: IV2019022612014191
inbo	1212382_2	52	17709	1212382	1212382	circle: IV2019010306473673; square: IV2019010306500942
inbo	1254486_2	51	17709	1254486	1254486	circle: IV2019022012091414; square: IV2019022012591316
inbo	1359838_1	52	17709	1359838	1359838	circle: IV2019010219160277; square: IV2019010219295713
inbo	3351638_2	51	17709	3351638	3351638	square: IV2019022011472738; circle: IV2019031509012165
inbo	3456990_1	51	17709	3456990	3456990	circle: IV2019010307000537; square: IV2019010307573190
inbo	1338805_2	9	17710	1338805	1338805	circle: IV2019010314291141; square: IV2019010314325267
inbo	1715637_2	10	17710	1715637	1715637	circle: IV2019010314170327; square: IV2019010314210644
inbo	1872565_1	10	17710	1872565	1872565	circle: IV2019010313212559; square: IV2019010313395896
inbo	1936821_2	10	17710	1936821	1936821	circle: IV2019010314442127; square: IV2019010314495413
inbo	1945013_1	10	17710	1945013	1945013	circle: IV2019010314572854; square: IV2019010315090270
inbo	1547265_1	10	17711	1547265	1547265	circle: IV2019011414090895; square: IV2019011414294981
inbo	1750129_2	10	17711	1750129	1750129	circle: IV2019011412165950; square: IV2019011413085987
inbo	1928193_1	10	17711	1928193	1928193	circle: IV2019010312545285; square: IV2019010313083140
inbo	3273046_2	51	17714	3273046	3273046	circle: IV2019022510115965; square: IV2019022510234996
inbo	3600726_2	51	17714	3600726	3600726	circle: IV2019022514042696; square: IV2019022514294786
inbo	2637569_1	51	17715	2637569	2637569	circle: IV2019012513495405; square: IV2019012514311759
inbo	1785525_2	10	17716	1785525	1785525	circle: IV2019010311595752; square: IV2019010312172058
inbo	1830581_1	10	17716	1830581	1830581	circle: IV2019010312332852; square: IV2019010312395304
inbo	1322614_1	80	17717	1322614	1322614	circle: IV2019010407172748; square: IV2019010407330134
inbo	1761206_1	80	17717	1761206	1761206	circle: IV2019013112081884; square: IV2019020110485762
inbo	1927030_1	80	17717	1927030	1927030	circle: IV2019010408021541; square: IV2019010408132142
inbo	1258422_2	80	17722	1258422	1258422	circle: IV2019020120070464; square: IV2019020120260519
inbo	1913782_1	80	17722	1913782	1913782	circle: IV2019020111131657; square: IV2019020119240586
inbo	1037522_2	52	17724	1037522	1037522	circle: IV2019030510151254; square: IV2019030510214992
inbo	1095890_2	52	17724	1095890	1095890	circle: IV2019030509454267; square: IV2019030509590498
inbo	1135826_2	52	17724	1135826	1135826	circle: IV2019030510462717; square: IV2019030510520410
inbo	1217746_2	52	17724	1217746	1217746	circle: IV2019030506553128; square: IV2019030507115159
inbo	1414354_2	52	17724	1414354	1414354	circle: IV2019030507344542; square: IV2019030507434490
inbo	1766326_2	82	17724	1766326	1766326	circle: IV2019020415303598; square: IV2019020508032046
inbo	31_2	12	17728	10153777	10153777_2120	circle: IV2019032212064389; square: IV2019032212131981
inbo	64_1	12	17728	10350385	10350385_2120	circle: IV2019032208302341; square: IV2019032208584087
inbo	51_1	15	17732	10260273	10260273_2130_hd	circle: IV2019021817083167; square: IV2019021817150496
inbo	1044273_1	15	17735	1044273	1044273_2120	circle: IV2019022009260834; square: IV2019022011203333
inbo	95_1	18	17735	11530033	11530033_2170	circle: IV2019021818015534; square: IV2019021818054897
inbo	98_1	22	17735	11923249	11923249_2190_mp	circle: IV2019022112420450; square: IV2019022112451373
inbo	62_1	23	17757	10334001	10334001_2190	circle: IV2019021810361306; square: IV2019021810403014
inbo	92_1	22	17757	10809137	10809137_2190_mp	circle: IV2019022019283436; square: IV2019022019311405
inbo	94_1	22	17757	11071281	11071281_2190_mp	circle: IV2019022111563297; square: IV2019022112005848
inbo	112_2	22	17763	16772913	16772913_2190_mp	circle: IV2019022112142789; square: IV2019022112243061
inbo	11595569_2	15	17763	11595569	11595569_2170	circle: IV2019021815154027; square: IV2019021815265092
inbo	102_2	22	17764	12431153	12431153_2190_mp	circle: IV2019022019402585; square: IV2019022019432327
inbo	50_1	15	17764	10252081	10252081_2130_hd	circle: IV2019022011461240; square: IV2019022011550085
inbo	40_1	15	17766	10186545_2130_hd	10186545_2130_hd	circle: IV2019021811115306; square: IV2019021811185084
inbo	40_2	18	17766	10186545_2170	10186545_2170	circle: IV2019021811495237; square: IV2019021812584035
inbo	87_1	12	17766	10665777	10665777_2120	circle: IV2019022012425367; square: IV2019022012454117
inbo	105_1	18	17767	12644145	12644145_2170	circle: IV2019021816464213; square: IV2019021816515851
inbo	108_2	18	17767	13561649	13561649_2170	circle: IV2019021813401634; square: IV2019021813445547
inbo	72_1	18	17767	10415921	10415921_2170	circle: IV2019032213402331; square: IV2019032213485629
inbo	110_2	18	17792	13823793	13823793_2170	circle: IV2019021816153672; square: IV2019021816195603
inbo	13_1	18	17792	1240881	1240881_2170	circle: IV2019021815483401; square: IV2019021815521039
inbo	100_2	18	17794	12054321	12054321_2170	circle: IV2019022016562144; square: IV2019022016595035
inbo	103_1	18	17794	12545841	12545841_2170	circle: IV2019022017090395; square: IV2019022017120928
inbo	107_2	18	17794	13070129	13070129_2170	circle: IV2019022017210446; square: IV2019022017234989
inbo	109_2	18	17794	13594417	13594417_2170	circle: IV2019021809512830; square: IV2019021809593611
inbo	111_2	18	17794	13889329	13889329_2170	circle: IV2019022013124861; square: IV2019022013161788
inbo	40_4	12	17800	10186545_2120	10186545_2120	circle: IV2019022013350210; square: IV2019022013365235
inbo	44_1	18	17800	10219313_2170	10219313_2170	circle: IV2019022017323559; square: IV2019022017345169
inbo	44_2	15	17800	10219313_2130_hd	10219313_2130_hd	circle: IV2019022017453613; square: IV2019022017491986
inbo	53_1	15	17801	10283825	10283825_2130_hd	circle: IV2019022015131506; square: IV2019022015174602
inbo	69_1	12	17801	10398513	10398513_2120	circle: IV2019021913152687; square: IV2019021913332143
inbo	82_1	12	17801	10578737	10578737_2120	circle: IV2019022013410657; square: IV2019022013422931
inbo	1068086_1	50	18039	1068086	1068086	circle: IV2020021916160633; square: IV2020021916204322
inbo	412726_2	50	18039	412726	412726	circle: IV2020022714231094; square: IV2020022714374375
inbo	805942_1	50	18039	805942	805942	circle: IV2020022714453255; square: IV2020022714594591
inbo	937014_2	52	18039	937014	937014	circle: IV2020022715151720; square: IV2020022715235211
inbo	1457206_1	50	18040	1457206	1457206	circle: IV2020022713561914; square: IV2020022714040075
inbo	1395766_1	52	18043	1395766	1395766	circle: IV2020022714073095; square: IV2020022714202521
inbo	1461302_1	50	18043	1461302	1461302	circle: IV2020022715014341; square: IV2020022715135992
inbo	1723446_2	50	18043	1723446	1723446	circle: IV2020022017031551; square: IV2020022017152138
inbo	12248402_2	45	18065	12248402	12248402	square: IV2020031013523658; circle: IV2020031014181916
inbo	4121938_1	45	18065	4121938	4121938	square: IV2020031010533280; circle: IV2020031012274263
inbo	7941057_1	55	18065	7941057	7941057	circle: IV2020041016413327; square: IV2020041110162473
inbo	11228210_1	55	18066	11228210	11228210	square: IV2020031211135033; circle: IV2020031211271709
inbo	7033906_1	55	18066	7033906	7033906	square: IV2020031015500072; circle: IV2020031114321268
inbo	3476978_1	45	18067	3476978	3476978	square: IV2020031213211228; circle: IV2020031214210192
inbo	1464626_1	50	18079	1464626	1464626	square: IV2020031216444711; circle: IV2020031216591855
inbo	3489106_2	45	18079	3489106	3489106	square: IV2020031215183226; circle: IV2020031216083507
inbo	7839026_1	55	18079	7839026	7839026	square: IV2020031219413746; circle: IV2020031220232348
inbo	11142674_1	55	18080	11142674	11142674	square: IV2020031709214044; circle: IV2020031709322618
inbo	13426066_1	45	18080	13426066	13426066	square: IV2020031510421165; circle: IV2020031510582347
