assessment_date	point_code	type	is_present	no_habitat	assessment_source	inaccessible	not_measurable	change_location	db_ref
16217	409654_2	63	1	0	field assessment	NA	NA	1	NA
16217	416998_1	63	0	1	field assessment	NA	NA	0	NA
16217	501046_1	63	0	1	field assessment	NA	NA	0	NA
16217	501046_2	63	1	0	field assessment	NA	NA	1	NA
16218	676914_1	63	0	1	field assessment	NA	NA	0	NA
16218	676914_2	63	1	0	field assessment	NA	NA	1	NA
16220	1152657_1	64	0	1	field assessment	NA	NA	0	NA
16220	1152657_2	65	1	0	field assessment	NA	NA	1	NA
16220	366225_1	64	0	1	field assessment	NA	NA	0	NA
16220	366225_2	64	1	0	field assessment	NA	NA	1	NA
16220	38545_1	64	0	1	field assessment	NA	NA	0	NA
16220	38545_2	64	1	0	field assessment	NA	NA	1	NA
16223	1042034_1	65	0	1	field assessment	NA	NA	0	NA
16223	1205598_1	66	0	1	field assessment	NA	NA	0	NA
16223	1205598_2	66	0	NA	field assessment	NA	NA	1	NA
16223	128350_1	66	0	1	field assessment	NA	NA	0	NA
16223	128350_2	66	0	NA	field assessment	NA	NA	1	NA
16223	1625522_1	65	0	NA	field assessment	NA	NA	0	NA
16223	1702514_1	63	0	1	field assessment	NA	NA	0	NA
16223	1702514_1	65	0	1	field assessment	NA	NA	0	NA
16223	1910194_1	65	0	NA	field assessment	NA	NA	0	NA
16223	31297_1	63	0	1	field assessment	NA	NA	0	NA
16223	314802_1	65	0	NA	field assessment	NA	NA	0	NA
16223	386674_1	63	0	1	field assessment	NA	NA	0	NA
16223	386674_2	63	1	0	field assessment	NA	NA	1	NA
16223	398529_1	63	0	1	field assessment	NA	NA	0	NA
16223	398529_3	63	1	0	field assessment	NA	NA	1	NA
16223	642482_1	65	0	1	field assessment	NA	NA	0	NA
16223	659330_1	65	0	NA	field assessment	NA	NA	0	NA
16223	941682_1	65	0	1	field assessment	NA	NA	0	NA
16223	943538_1	65	0	NA	field assessment	NA	NA	0	NA
16224	1214742_1	66	0	NA	field assessment	NA	NA	0	NA
16224	1487746_1	65	0	1	field assessment	NA	NA	0	NA
16224	1487746_2	65	1	0	field assessment	NA	NA	1	NA
16224	151830_1	63	0	1	field assessment	NA	NA	0	NA
16224	152769_1	63	0	1	field assessment	NA	NA	0	NA
16224	152769_2	63	0	NA	field assessment	NA	NA	1	NA
16224	1618818_1	65	0	1	field assessment	NA	NA	0	NA
16224	1618818_2	65	1	0	field assessment	NA	NA	1	NA
16224	177778_1	63	0	1	field assessment	NA	NA	0	NA
16224	398921_1	63	0	1	field assessment	NA	NA	0	NA
16224	398921_2	63	0	NA	field assessment	NA	NA	1	NA
16224	439922_1	63	0	1	field assessment	NA	NA	0	NA
16224	624918_1	63	0	NA	field assessment	NA	NA	0	NA
16224	674070_1	66	0	1	field assessment	NA	NA	0	NA
16224	674070_2	66	0	NA	field assessment	NA	NA	1	NA
16224	79986_1	63	0	1	field assessment	NA	NA	0	NA
16224	79986_2	63	1	0	field assessment	NA	NA	1	NA
16224	99521_1	63	0	1	field assessment	NA	NA	0	NA
16224	99521_2	63	1	0	field assessment	NA	NA	1	NA
16225	1875842_1	65	0	NA	field assessment	NA	NA	0	NA
16225	589698_1	65	0	1	field assessment	NA	NA	0	NA
16225	589698_4	65	1	0	field assessment	NA	NA	1	NA
16225	832386_1	63	0	1	field assessment	NA	NA	0	NA
16225	832386_1	65	0	1	field assessment	NA	NA	0	NA
16225	832386_2	65	1	0	field assessment	NA	NA	1	NA
16226	1007490_1	65	0	1	field assessment	NA	NA	0	NA
16226	1007490_2	65	1	0	field assessment	NA	NA	1	NA
16226	1713026_1	65	0	NA	field assessment	NA	NA	0	NA
16226	18546_1	63	0	1	field assessment	NA	NA	0	NA
16226	18546_2	63	1	0	field assessment	NA	NA	1	NA
16226	2155394_1	65	0	NA	field assessment	NA	NA	0	NA
16226	24450_1	65	0	NA	field assessment	NA	NA	0	NA
16226	30153_1	63	0	1	field assessment	NA	NA	0	NA
16226	457_1	63	0	1	field assessment	NA	NA	0	NA
16226	604274_1	63	0	1	field assessment	NA	NA	0	NA
16226	6182_1	64	1	0	field assessment	NA	NA	0	NA
16226	8550_1	63	0	1	field assessment	NA	NA	0	NA
16227	477734_1	63	0	1	field assessment	NA	NA	0	NA
16227	605493_1	63	0	1	field assessment	NA	NA	0	NA
16227	605493_2	63	1	0	field assessment	NA	NA	1	NA
16227	63270_1	63	0	1	field assessment	NA	NA	0	NA
16227	63270_2	63	1	0	field assessment	NA	NA	1	NA
16231	31797_1	63	0	1	field assessment	NA	NA	0	NA
16231	333385_1	63	0	1	field assessment	NA	NA	0	NA
16231	333385_2	63	1	0	field assessment	NA	NA	1	NA
16231	521090_1	65	0	1	field assessment	NA	NA	0	NA
16231	643970_1	63	0	1	field assessment	NA	NA	0	NA
16231	643970_1	65	0	1	field assessment	NA	NA	0	NA
16231	643970_2	63	1	0	field assessment	NA	NA	1	NA
16232	2007238_1	66	0	1	field assessment	NA	NA	0	NA
16232	2007238_2	66	0	NA	field assessment	NA	NA	1	NA
16232	416454_1	63	0	1	field assessment	NA	NA	0	NA
16232	416454_2	63	0	1	field assessment	NA	NA	1	NA
16232	41814_1	63	0	1	field assessment	NA	NA	0	NA
16232	41814_2	63	1	0	field assessment	NA	NA	1	NA
16232	452066_1	63	0	1	field assessment	NA	NA	0	NA
16232	452066_2	63	1	0	field assessment	NA	NA	1	NA
16232	528582_1	63	1	0	field assessment	NA	NA	1	NA
16232	61522_1	63	0	NA	field assessment	NA	NA	0	NA
16232	720369_1	64	0	1	field assessment	NA	NA	0	NA
16232	720369_2	64	1	0	field assessment	NA	NA	1	NA
16232	79089_1	63	0	1	field assessment	NA	NA	0	NA
16232	79089_2	63	0	1	field assessment	NA	NA	1	NA
16233	206134_1	63	0	1	field assessment	NA	NA	0	NA
16233	206134_2	63	1	0	field assessment	NA	NA	1	NA
16233	238902_1	63	0	1	field assessment	NA	NA	0	NA
16233	589110_1	63	0	1	field assessment	NA	NA	0	NA
16233	589110_2	63	1	0	field assessment	NA	NA	1	NA
16233	677174_1	63	0	1	field assessment	NA	NA	0	NA
16233	677174_2	63	1	0	field assessment	NA	NA	1	NA
16233	91446_1	63	0	NA	field assessment	NA	NA	0	NA
16234	213302_1	63	0	NA	field assessment	NA	NA	0	NA
16234	411446_1	63	0	1	field assessment	NA	NA	0	NA
16234	47446_1	63	0	1	field assessment	NA	NA	0	NA
16234	47446_2	63	1	0	field assessment	NA	NA	1	NA
16238	69385_1	63	0	NA	NA	NA	long term	0	NA
16239	1048049_1	64	0	1	field assessment	NA	NA	0	NA
16239	1048049_2	64	0	1	field assessment	NA	NA	1	NA
16239	1080817_1	64	0	1	field assessment	NA	NA	0	NA
16239	1080817_2	64	0	NA	field assessment	NA	NA	1	NA
16239	425457_1	64	0	1	field assessment	NA	NA	0	NA
16239	429553_1	64	0	1	field assessment	NA	NA	0	NA
16239	429553_2	64	0	NA	field assessment	NA	NA	1	NA
16239	63921_1	63	0	1	field assessment	NA	NA	0	NA
16239	818673_1	64	0	1	field assessment	NA	NA	0	NA
16293	123614_1	38	0	1	field assessment	NA	NA	0	NA
16293	15465_1	26	0	1	field assessment	NA	NA	0	NA
16293	238454_1	26	0	1	field assessment	long term	NA	0	NA
16293	264566_1	26	0	1	field assessment	NA	NA	0	NA
16293	337270_1	26	0	1	field assessment	NA	NA	0	NA
16293	490998_1	26	0	1	field assessment	NA	NA	0	NA
16293	78558_1	39	0	1	field assessment	NA	NA	0	NA
16293	81985_1	24	1	0	field assessment	NA	NA	0	NA
16301	111326_1	38	1	0	field assessment	NA	NA	0	NA
16301	90846_1	24	1	0	field assessment	NA	NA	0	NA
16302	65522_1	38	1	0	field assessment	NA	NA	0	NA
16302	72690_1	39	1	0	field assessment	NA	NA	0	NA
16303	28658_1	39	1	0	field assessment	NA	NA	0	NA
16303	29406_1	26	1	0	field assessment	NA	NA	0	NA
16303	94942_1	38	1	0	field assessment	NA	NA	0	NA
16304	12274_1	39	1	0	field assessment	NA	NA	0	NA
16304	44626_1	39	1	0	field assessment	NA	NA	0	NA
16304	45790_1	24	1	0	field assessment	NA	NA	0	NA
16304	77394_1	39	1	0	field assessment	NA	NA	0	NA
16307	23538_1	38	1	0	field assessment	NA	NA	0	NA
16307	2610_1	39	1	0	field assessment	NA	NA	0	NA
16309	236370_1	26	1	0	field assessment	NA	NA	0	NA
16309	445266_1	26	1	0	field assessment	NA	NA	0	NA
16309	498514_1	24	1	0	field assessment	NA	NA	0	NA
16310	28370_1	24	1	0	field assessment	NA	NA	0	NA
16310	34514_1	24	1	0	field assessment	NA	NA	0	NA
16310	37330_1	39	1	0	field assessment	NA	NA	0	NA
16310	43858_1	26	1	0	field assessment	NA	NA	0	NA
16311	122578_1	38	1	0	field assessment	NA	NA	0	NA
16311	54994_1	39	1	0	field assessment	NA	NA	0	NA
16314	100050_1	38	1	0	field assessment	NA	NA	0	NA
16314	75474_1	39	1	0	field assessment	NA	NA	0	NA
16314	96978_1	24	1	0	field assessment	NA	NA	0	NA
16314	9938_1	39	1	0	field assessment	NA	NA	0	NA
16315	13022_1	24	0	1	field assessment	NA	NA	0	NA
16315	13022_1	39	0	1	field assessment	NA	NA	0	NA
16315	26322_1	39	1	0	field assessment	NA	NA	0	NA
16315	33718_1	26	0	1	field assessment	NA	NA	0	NA
16315	33718_2	26	1	0	field assessment	NA	NA	1	NA
16315	361398_1	26	1	0	field assessment	NA	NA	0	NA
16315	458462_1	24	1	0	field assessment	NA	NA	0	NA
16315	50102_1	39	1	0	field assessment	NA	NA	0	NA
16315	65234_1	38	1	0	field assessment	NA	NA	0	NA
16316	144094_1	24	1	0	field assessment	NA	NA	0	NA
16316	279478_1	39	1	0	field assessment	NA	NA	0	NA
16316	295862_1	26	1	0	field assessment	NA	NA	0	NA
16316	62174_1	24	1	0	field assessment	NA	NA	0	NA
16316	8893_1	24	1	0	field assessment	NA	NA	0	NA
16317	476086_1	24	1	0	field assessment	NA	NA	0	NA
16317	492470_1	39	1	0	field assessment	NA	NA	0	NA
16318	213942_1	26	1	0	field assessment	NA	NA	0	NA
16318	332726_1	39	1	0	field assessment	NA	NA	0	NA
16318	5046_1	24	0	NA	field assessment	NA	NA	0	NA
16318	70582_1	26	0	1	field assessment	NA	NA	0	NA
16321	105682_1	24	1	0	field assessment	NA	NA	0	NA
16321	151250_1	24	1	0	field assessment	NA	NA	0	NA
16321	20178_1	24	1	0	field assessment	NA	NA	0	NA
16321	226230_1	26	1	0	field assessment	NA	NA	0	NA
16321	267190_1	39	1	0	field assessment	NA	NA	0	NA
16321	29622_1	24	1	0	field assessment	NA	NA	0	NA
16321	40146_1	39	1	0	field assessment	NA	NA	0	NA
16321	433362_1	24	1	0	field assessment	NA	NA	0	NA
16321	488374_1	39	1	0	field assessment	NA	NA	0	NA
16322	134098_1	24	1	0	field assessment	NA	NA	0	NA
16322	21430_1	39	1	0	field assessment	NA	NA	0	NA
16322	27602_1	39	1	0	field assessment	NA	NA	0	NA
16322	3026_1	39	1	0	field assessment	NA	NA	0	NA
16322	46006_1	39	1	0	field assessment	NA	NA	0	NA
16322	463798_1	24	1	0	field assessment	NA	NA	0	NA
16322	76242_1	38	1	0	field assessment	NA	NA	0	NA
16322	93138_1	24	1	0	field assessment	NA	NA	0	NA
16322	95158_1	24	1	0	field assessment	NA	NA	0	NA
16323	103350_1	38	0	1	field assessment	NA	NA	0	NA
16323	11218_1	38	1	0	field assessment	NA	NA	0	NA
16323	117202_1	24	1	0	field assessment	NA	NA	0	NA
16323	177078_1	26	1	0	field assessment	NA	NA	0	NA
16323	306130_1	24	1	0	field assessment	NA	NA	0	NA
16323	42934_1	39	1	0	field assessment	NA	NA	0	NA
16323	76754_1	24	1	0	field assessment	NA	NA	0	NA
16324	102098_1	24	1	0	field assessment	NA	NA	0	NA
16324	116946_1	24	0	NA	field assessment	NA	NA	0	NA
16324	116946_1	26	0	NA	field assessment	NA	NA	0	NA
16324	129234_1	38	1	0	field assessment	NA	NA	0	NA
16324	23762_1	24	1	0	field assessment	NA	NA	0	NA
16324	32466_1	24	1	0	field assessment	NA	NA	0	NA
16324	35794_1	24	1	0	field assessment	NA	NA	0	NA
16324	358610_1	39	1	0	field assessment	NA	NA	0	NA
16324	55058_1	26	1	0	field assessment	NA	NA	0	NA
16324	85714_1	24	0	1	field assessment	NA	NA	0	NA
16324	98002_1	24	1	0	field assessment	NA	NA	0	NA
16325	8786_1	39	1	0	field assessment	NA	NA	0	NA
16328	120018_1	38	1	0	field assessment	NA	NA	0	NA
16328	398546_1	24	1	0	field assessment	NA	NA	0	NA
16328	70866_1	39	0	1	field assessment	NA	NA	0	NA
16329	136402_1	39	1	0	field assessment	NA	NA	0	NA
16329	20406_1	39	1	0	field assessment	NA	NA	0	NA
16329	331702_1	24	1	0	field assessment	NA	NA	0	NA
16329	5330_1	24	1	0	field assessment	NA	NA	0	NA
16329	69558_1	24	0	1	field assessment	NA	NA	0	NA
16330	34002_1	39	0	NA	field assessment	NA	NA	0	NA
16330	38098_1	24	1	0	field assessment	NA	NA	0	NA
16330	431314_1	26	1	0	field assessment	NA	NA	0	NA
16332	152786_1	24	1	0	field assessment	NA	NA	0	NA
16332	21714_1	26	1	0	field assessment	NA	NA	0	NA
16332	218322_1	39	1	0	field assessment	NA	NA	0	NA
16335	304338_1	24	1	0	field assessment	NA	NA	0	NA
16335	372702_1	26	0	NA	field assessment	NA	NA	0	NA
16335	480466_1	39	1	0	field assessment	NA	NA	0	NA
16335	54482_1	39	1	0	field assessment	NA	NA	0	NA
16336	124278_1	24	1	0	field assessment	NA	NA	0	NA
16336	225910_1	26	1	0	field assessment	NA	NA	0	NA
16336	386422_1	26	1	0	field assessment	NA	NA	0	NA
16336	488054_1	24	1	0	field assessment	NA	NA	0	NA
16337	120110_1	38	1	0	field assessment	NA	NA	0	NA
16339	459222_1	24	1	0	field assessment	NA	NA	0	NA
16339	66006_1	24	1	0	field assessment	NA	NA	0	NA
16436	10003794_1	45	0	NA	field assessment	NA	NA	0	10003794
16436	1023857_1	10	0	NA	field assessment	NA	NA	0	1023857
16436	1027509_1	10	0	NA	field assessment	NA	NA	0	1027509
16436	10327086_1	56	0	NA	field assessment	NA	NA	0	10327086
16436	1035701_1	10	NA	NA	NA	long term	NA	0	1035701
16436	1045173_1	10	0	NA	field assessment	NA	NA	0	1045173
16436	1045617_1	10	0	NA	field assessment	NA	NA	0	1045617
16436	10530898_1	45	0	NA	field assessment	NA	NA	0	10530898
16436	1053365_1	10	0	NA	field assessment	NA	NA	0	1053365
16436	10593414_1	55	0	NA	field assessment	NA	NA	0	10593414
16436	1076661_1	10	0	NA	field assessment	NA	NA	0	1076661
16436	1101237_1	10	0	NA	field assessment	NA	NA	0	1101237
16436	111542_1	80	0	NA	field assessment	NA	NA	0	111542
16436	11397478_1	55	0	NA	field assessment	NA	NA	0	11397478
16436	114566_1	56	0	NA	field assessment	NA	NA	0	114566
16436	1176689_1	10	0	NA	field assessment	NA	NA	0	1176689
16436	1184437_1	10	0	NA	field assessment	NA	NA	0	1184437
16436	1192629_1	10	0	NA	field assessment	NA	NA	0	1192629
16436	12145_1	10	0	NA	field assessment	NA	NA	0	12145
16436	1223990_1	56	0	NA	field assessment	NA	NA	0	1223990
16436	1241781_1	10	0	NA	field assessment	NA	NA	0	1241781
16436	1242225_1	10	0	NA	field assessment	NA	NA	0	1242225
16436	12496182_1	56	0	NA	field assessment	NA	NA	0	12496182
16436	1249973_1	10	0	NA	field assessment	NA	NA	0	1249973
16436	1253302_1	80	0	NA	field assessment	NA	NA	0	1253302
16436	12690566_1	55	0	NA	field assessment	NA	NA	0	12690566
16436	127926_1	80	0	NA	field assessment	NA	NA	0	127926
16436	128113_1	10	0	NA	field assessment	NA	NA	0	128113
16436	1281461_1	10	0	NA	field assessment	NA	NA	0	1281461
16436	1289653_1	10	0	NA	field assessment	NA	NA	0	1289653
16436	1291377_1	10	NA	NA	NA	long term	NA	0	1291377
16436	1310773_1	10	0	NA	field assessment	NA	NA	0	1310773
16436	1315509_1	10	0	NA	field assessment	NA	NA	0	1315509
16436	13179014_1	56	0	NA	field assessment	NA	NA	0	13179014
16436	1322865_1	10	0	NA	field assessment	NA	NA	0	1322865
16436	132626_1	55	0	NA	field assessment	NA	NA	0	132626
16436	132626_1	63	0	NA	field assessment	NA	NA	0	132626
16436	1346997_1	10	0	NA	field assessment	NA	NA	0	1346997
16436	1373297_1	10	0	NA	field assessment	NA	NA	0	1373297
16436	13739142_1	55	0	NA	field assessment	NA	NA	0	13739142
16436	1401857_1	10	0	NA	field assessment	NA	NA	0	1401857
16436	14198098_1	45	0	NA	field assessment	NA	NA	0	14198098
16436	1436006_1	55	0	NA	field assessment	NA	NA	0	1436006
16436	1438646_1	80	0	NA	field assessment	NA	NA	0	1438646
16436	1446226_1	45	0	NA	field assessment	NA	NA	0	1446226
16436	14593334_1	56	0	NA	field assessment	NA	NA	0	14593334
16436	14725202_1	45	0	NA	field assessment	NA	NA	0	14725202
16436	1481518_1	56	0	NA	field assessment	NA	NA	0	1481518
16436	1486261_1	10	0	NA	field assessment	NA	NA	0	1486261
16436	1503925_1	10	0	NA	field assessment	NA	NA	0	1503925
16436	15641910_1	56	0	NA	field assessment	NA	NA	0	15641910
16436	15836294_1	55	0	NA	field assessment	NA	NA	0	15836294
16436	158854_1	49	0	NA	field assessment	NA	NA	0	158854
16436	1610421_1	10	0	NA	field assessment	NA	NA	0	1610421
16436	1622390_1	56	0	NA	field assessment	NA	NA	0	1622390
16436	16638422_1	56	0	NA	field assessment	NA	NA	0	16638422
16436	16690486_1	56	0	NA	field assessment	NA	NA	0	16690486
16436	1679217_1	10	0	NA	field assessment	NA	NA	0	1679217
16436	168629_1	10	0	NA	field assessment	NA	NA	0	168629
16436	17084498_1	45	0	NA	field assessment	NA	NA	0	17084498
16436	17373318_1	56	0	NA	field assessment	NA	NA	0	17373318
16436	1741493_1	10	0	NA	field assessment	NA	NA	0	1741493
16436	1781173_1	10	0	NA	field assessment	NA	NA	0	1781173
16436	178390_1	51	0	NA	field assessment	NA	NA	0	178390
16436	17933446_1	55	0	NA	field assessment	NA	NA	0	17933446
16436	18001206_1	56	0	NA	field assessment	NA	NA	0	18001206
16436	18213222_1	55	0	NA	field assessment	NA	NA	0	18213222
16436	1830325_1	10	0	NA	field assessment	NA	NA	0	1830325
16436	18421894_1	56	0	NA	field assessment	NA	NA	0	18421894
16436	1879477_1	10	0	NA	field assessment	NA	NA	0	1879477
16436	1896305_1	10	0	NA	field assessment	NA	NA	0	1896305
16436	1912438_1	80	0	NA	field assessment	NA	NA	0	1912438
16436	19181650_1	45	0	NA	field assessment	NA	NA	0	19181650
16436	193205_1	10	0	NA	field assessment	NA	NA	0	193205
16436	193462_1	80	0	NA	field assessment	NA	NA	0	193462
16436	193649_1	10	0	NA	field assessment	NA	NA	0	193649
16436	1946625_1	10	0	NA	field assessment	NA	NA	0	1946625
16436	1958022_1	55	0	NA	field assessment	NA	NA	0	1958022
16436	1958022_1	80	0	NA	field assessment	NA	NA	0	1958022
16436	1962677_1	10	0	NA	field assessment	NA	NA	0	1962677
16436	19755090_1	45	0	NA	field assessment	NA	NA	0	19755090
16436	2018741_1	10	0	NA	field assessment	NA	NA	0	2018741
16436	20246610_1	45	0	NA	field assessment	NA	NA	0	20246610
16436	2028657_1	10	0	NA	field assessment	NA	NA	0	2028657
16436	2036405_1	10	0	NA	field assessment	NA	NA	0	2036405
16436	20834662_1	55	0	NA	field assessment	NA	NA	0	20834662
16436	2109046_1	80	0	NA	field assessment	NA	NA	0	2109046
16436	2109297_1	10	0	NA	field assessment	NA	NA	0	2109297
16436	21278802_1	45	0	NA	field assessment	NA	NA	0	21278802
16436	2133429_1	10	NA	NA	NA	long term	NA	0	2133429
16436	2134709_1	10	0	NA	field assessment	NA	NA	0	2134709
16436	21538130_1	45	0	NA	field assessment	NA	NA	0	21538130
16436	2159542_1	80	0	NA	field assessment	NA	NA	0	2159542
16436	217078_1	51	0	NA	field assessment	NA	NA	0	217078
16436	217078_1	56	0	NA	field assessment	NA	NA	0	217078
16436	22127750_1	55	0	NA	field assessment	NA	NA	0	22127750
16436	22417746_1	45	0	NA	field assessment	NA	NA	0	22417746
16436	2265781_1	10	0	NA	field assessment	NA	NA	0	2265781
16436	2272693_1	10	0	NA	field assessment	NA	NA	0	2272693
16436	2274305_1	10	0	NA	field assessment	NA	NA	0	2274305
16436	23176326_1	55	0	NA	field assessment	NA	NA	0	23176326
16436	2338229_1	10	0	NA	field assessment	NA	NA	0	2338229
16436	23949394_1	45	0	NA	field assessment	NA	NA	0	23949394
16436	2396853_1	10	0	NA	field assessment	NA	NA	0	2396853
16436	2404434_1	45	0	NA	field assessment	NA	NA	0	2404434
16436	241077_1	10	0	NA	field assessment	NA	NA	0	241077
16436	2421873_1	10	0	NA	field assessment	NA	NA	0	2421873
16436	242801_1	10	0	NA	field assessment	NA	NA	0	242801
16436	245894_1	39	0	NA	field assessment	NA	NA	0	245894
16436	245894_1	50	0	NA	field assessment	NA	NA	0	245894
16436	2487222_1	80	0	NA	field assessment	NA	NA	0	2487222
16436	2502790_1	56	0	NA	field assessment	NA	NA	0	2502790
16436	2539894_1	56	0	NA	field assessment	NA	NA	0	2539894
16436	2567605_1	10	0	NA	field assessment	NA	NA	0	2567605
16436	258741_1	10	0	NA	field assessment	NA	NA	0	258741
16436	2591601_1	10	0	NA	field assessment	NA	NA	0	2591601
16436	2596790_1	80	0	NA	field assessment	NA	NA	0	2596790
16436	2618037_1	10	0	NA	field assessment	NA	NA	0	2618037
16436	2658997_1	10	0	NA	field assessment	NA	NA	0	2658997
16436	2665909_1	10	0	NA	field assessment	NA	NA	0	2665909
16436	266933_1	10	0	NA	field assessment	NA	NA	0	266933
16436	2703029_1	10	0	NA	field assessment	NA	NA	0	2703029
16436	2733169_1	10	0	NA	field assessment	NA	NA	0	2733169
16436	2735541_1	10	0	NA	field assessment	NA	NA	0	2735541
16436	2748273_1	10	0	NA	field assessment	NA	NA	0	2748273
16436	2749366_1	80	0	NA	field assessment	NA	NA	0	2749366
16436	2754066_1	55	0	NA	field assessment	NA	NA	0	2754066
16436	2792238_1	56	0	NA	field assessment	NA	NA	0	2792238
16436	2796981_1	10	0	NA	field assessment	NA	NA	0	2796981
16436	2798518_1	80	0	NA	field assessment	NA	NA	0	2798518
16436	2799826_1	80	0	NA	field assessment	NA	NA	0	2799826
16436	2829749_1	10	0	NA	field assessment	NA	NA	0	2829749
16436	2830389_1	10	NA	NA	NA	long term	NA	0	2830389
16436	2850870_1	51	0	NA	field assessment	NA	NA	0	2850870
16436	2850870_1	56	0	NA	field assessment	NA	NA	0	2850870
16436	2862517_1	10	0	NA	field assessment	NA	NA	0	2862517
16436	2880438_1	80	0	NA	field assessment	NA	NA	0	2880438
16436	2908853_1	10	0	NA	field assessment	NA	NA	0	2908853
16436	2925569_1	10	0	NA	field assessment	NA	NA	0	2925569
16436	2936245_1	10	NA	NA	NA	long term	NA	0	2936245
16436	2962358_1	80	0	NA	field assessment	NA	NA	0	2962358
16436	2977874_1	45	0	NA	field assessment	NA	NA	0	2977874
16436	3011510_1	80	0	NA	field assessment	NA	NA	1	NA
16436	304129_1	10	0	NA	field assessment	NA	NA	0	304129
16436	3052213_1	10	0	NA	field assessment	NA	NA	0	3052213
16436	3060662_1	80	0	NA	field assessment	NA	NA	0	3060662
16436	3067317_1	10	0	NA	field assessment	NA	NA	0	3067317
16436	3084981_1	10	0	NA	field assessment	NA	NA	0	3084981
16436	3109889_1	10	0	NA	field assessment	NA	NA	0	3109889
16436	311349_1	10	0	NA	field assessment	NA	NA	0	311349
16436	3124661_1	10	0	NA	field assessment	NA	NA	0	3124661
16436	3142325_1	10	0	NA	field assessment	NA	NA	0	3142325
16436	3157873_1	10	0	NA	field assessment	NA	NA	0	3157873
16436	3198389_1	10	0	NA	field assessment	NA	NA	0	3198389
16436	3214773_1	10	0	NA	field assessment	NA	NA	0	3214773
16436	3215029_1	10	NA	NA	NA	long term	NA	0	3215029
