"recording_givid";"survery";"user_reference";"area";"vague_date_begin";"vague_date_end"
"IV2017010911112595";"N2000meetnet_Grasland";"2438198";1017;"2015-06-11";"2015-06-11"
"IV2017010911343112";"N2000meetnet_Grasland";"2438198";9;"2015-06-11";"2015-06-11"
"IV2017010915000761";"N2000meetnet_Grasland";"17475649";1017;"2015-07-10";"2015-07-10"
"IV2017010916362743";"N2000meetnet_Grasland";"17475649";9;"2015-07-10";"2015-07-10"
"IV2017010922050123";"N2000meetnet_Grasland";"2664513";1017;"2015-07-10";"2015-07-10"
"IV2017010922225486";"N2000meetnet_Grasland";"2664513";9;"2015-07-10";"2015-07-10"
"IV2017011212263384";"N2000meetnet_Grasland";"323154";1017;"2016-07-29";"2016-07-29"
"IV2017011212535658";"N2000meetnet_Grasland";"437685";1017;"2015-08-06";"2015-08-06"
"IV2017011214394174";"N2000meetnet_Grasland";"437685";9;"2015-08-06";"2015-08-06"
"IV2017011215122813";"N2000meetnet_Grasland";"323154";9;"2016-07-29";"2016-07-29"
"IV2017011215162577";"N2000meetnet_Grasland";"37557";1017;"2015-08-11";"2015-08-11"
"IV2017011215184680";"N2000meetnet_Grasland";"37557";9;"2015-08-11";"2015-08-11"
"IV2017011215302636";"N2000meetnet_Grasland";"798133";1017;"2015-08-11";"2015-08-11"
"IV2017011215475751";"N2000meetnet_Grasland";"798133";9;"2015-08-11";"2015-08-11"
"IV2017011215545335";"N2000meetnet_Grasland";"695297";1017;"2015-08-19";"2015-08-19"
"IV2017011216070022";"N2000meetnet_Grasland";"695297";9;"2015-08-19";"2015-08-19"
"IV2017011312251730";"N2000meetnet_Grasland";"781906";1017;"2016-08-03";"2016-08-03"
"IV2017011812094287";"N2000meetnet_Grasland";"781906";9;"2016-08-03";"2016-08-03"
"IV2017011813083530";"N2000meetnet_Grasland";"721906";1017;"2016-07-29";"2016-07-29"
"IV2017011813535331";"N2000meetnet_Grasland";"721906";9;"2016-07-29";"2016-07-29"
"IV2017011814163232";"N2000meetnet_Grasland";"540658";1017;"2016-07-29";"2016-07-29"
"IV2017011816230130";"N2000meetnet_Grasland";"540658";9;"2016-07-29";"2016-07-29"
"IV2017011816484258";"N2000meetnet_Grasland";"1436882";1017;"2016-09-02";"2016-09-02"
"IV2017011817212208";"N2000meetnet_Grasland";"1436882";9;"2016-09-02";"2016-09-02"
"IV2017011915010675";"N2000meetnet_Grasland";"2133734";1017;"2016-07-26";"2016-07-26"
"IV2017011916185487";"N2000meetnet_Grasland";"2133734";9;"2016-07-26";"2016-07-26"
"IV2017011916524752";"N2000meetnet_Grasland";"583378";1017;"2016-08-18";"2016-08-18"
"IV2017011919322195";"N2000meetnet_Grasland";"583378";9;"2016-08-18";"2016-08-18"
"IV2017012010235498";"N2000meetnet_Grasland";"201006";1017;"2016-06-27";"2016-06-27"
"IV2017012011231757";"N2000meetnet_Grasland";"201006";9;"2016-06-27";"2016-06-27"
"IV2017012012273378";"N2000meetnet_Grasland";"379094";1017;"2016-09-06";"2016-09-06"
"IV2017012012433410";"N2000meetnet_Grasland";"379094";9;"2016-09-06";"2016-09-06"
"IV2017012013020416";"N2000meetnet_Grasland";"116950";1017;"2016-09-06";"2016-09-06"
"IV2017012013095674";"N2000meetnet_Grasland";"116950";9;"2016-09-06";"2016-09-06"
"IV2017012013475483";"N2000meetnet_Grasland";"641238";1017;"2016-09-06";"2016-09-06"
"IV2017012013585970";"N2000meetnet_Grasland";"641238";9;"2016-09-06";"2016-09-06"
"IV2017012015481765";"N2000meetnet_Grasland";"315329";1017;"2016-08-30";"2016-08-30"
"IV2017012016215306";"N2000meetnet_Grasland";"315329";9;"2016-08-30";"2016-08-30"
"IV2017012016374726";"N2000meetnet_Grasland";"300649";1017;"2016-08-31";"2016-08-31"
"IV2017012016550624";"N2000meetnet_Grasland";"300649";9;"2016-08-31";"2016-08-31"
"IV2017012017101191";"N2000meetnet_Grasland";"576302";1017;"2016-09-13";"2016-09-13"
"IV2017012017312649";"N2000meetnet_Grasland";"576302";9;"2016-09-13";"2016-09-13"
"IV2017012312301685";"N2000meetnet_Grasland";"745170";1017;"2016-08-18";"2016-08-18"
"IV2017012312531726";"N2000meetnet_Grasland";"745170";9;"2016-08-18";"2016-08-18"
"IV2017012521020429";"N2000meetnet_Grasland";"141010";1017;"2016-08-18";"2016-08-18"
"IV2017012521104081";"N2000meetnet_Grasland";"141010";9;"2016-08-18";"2016-08-18"
"IV2017012522043706";"N2000meetnet_Grasland";"59090";1017;"2016-08-18";"2016-08-18"
"IV2017012522232265";"N2000meetnet_Grasland";"59090";9;"2016-08-18";"2016-08-18"
"IV2017012611170830";"N2000meetnet_Grasland";"220882";1017;"2016-08-18";"2016-08-18"
"IV2017012611360478";"N2000meetnet_Grasland";"220882";9;"2016-08-18";"2016-08-18"
"IV2017012613001528";"N2000meetnet_Grasland";"89810";1017;"2016-08-18";"2016-08-18"
"IV2017012613170767";"N2000meetnet_Grasland";"89810";9;"2016-08-18";"2016-08-18"
"IV2017012613411763";"N2000meetnet_Grasland";"648914";1017;"2016-08-18";"2016-08-18"
"IV2017012613530004";"N2000meetnet_Grasland";"648914";9;"2016-08-18";"2016-08-18"
"IV2017012615432844";"N2000meetnet_Grasland";"1150886";1017;"2016-07-19";"2016-07-19"
"IV2017012620054742";"N2000meetnet_Grasland";"1150886";9;"2016-07-19";"2016-07-19"
"IV2017012620463014";"N2000meetnet_Grasland";"1216422";1017;"2016-07-19";"2016-07-19"
"IV2017012620573892";"N2000meetnet_Grasland";"1216422";9;"2016-07-19";"2016-07-19"
"IV2017012709211647";"N2000meetnet_Grasland";"1566033";1017;"2016-09-05";"2016-09-05"
"IV2017012709294069";"N2000meetnet_Grasland";"1566033";9;"2016-09-05";"2016-09-05"
"IV2017012709434540";"N2000meetnet_Grasland";"207406";1017;"2016-09-19";"2016-09-19"
"IV2017012710254898";"N2000meetnet_Grasland";"207406";9;"2016-09-19";"2016-09-19"
"IV2017012711292443";"N2000meetnet_Grasland";"743982";1017;"2016-09-19";"2016-09-19"
"IV2017012711431363";"N2000meetnet_Grasland";"743982";9;"2016-09-19";"2016-09-19"
"IV2017012712420281";"N2000meetnet_Grasland";"58433";1017;"2016-09-05";"2016-09-05"
"IV2017012713022515";"N2000meetnet_Grasland";"58433";9;"2016-09-05";"2016-09-05"
"IV2017012713261758";"N2000meetnet_Grasland";"1436718";1017;"2016-06-20";"2016-06-20"
"IV2017012714021766";"N2000meetnet_Grasland";"1436718";9;"2016-06-20";"2016-06-20"
"IV2017012714260737";"N2000meetnet_Grasland";"3461110";1017;"2016-09-14";"2016-09-14"
"IV2017012715091042";"N2000meetnet_Grasland";"3461110";9;"2016-09-14";"2016-09-14"
"IV2017012715235876";"N2000meetnet_Grasland";"4390190";1017;"2016-06-10";"2016-06-10"
"IV2017012715472176";"N2000meetnet_Grasland";"4390190";9;"2016-06-10";"2016-06-10"
"IV2017012716313882";"N2000meetnet_Grasland";"2760937";1017;"2016-09-12";"2016-09-12"
"IV2017012716564741";"N2000meetnet_Grasland";"2760937";9;"2016-09-12";"2016-09-12"
"IV2017013011050597";"N2000meetnet_Grasland";"857298";1017;"2016-09-09";"2016-09-09"
"IV2017013011141972";"N2000meetnet_Grasland";"857298";9;"2016-09-09";"2016-09-09"
"IV2017013011553027";"N2000meetnet_Grasland";"627922";1017;"2016-09-09";"2016-09-09"
"IV2017013012265239";"N2000meetnet_Grasland";"627922";9;"2016-09-09";"2016-09-09"
"IV2017013013060304";"N2000meetnet_Grasland";"87250";1017;"2016-09-09";"2016-09-09"
"IV2017013013143717";"N2000meetnet_Grasland";"87250";9;"2016-09-09";"2016-09-09"
"IV2017013013460448";"N2000meetnet_Grasland";"1115122";1017;"2016-08-25";"2016-08-25"
"IV2017013015085454";"N2000meetnet_Grasland";"1115122";9;"2016-08-25";"2016-08-25"
"IV2017013015545827";"N2000meetnet_Grasland";"619506";1017;"2016-08-25";"2016-08-25"
"IV2017013016040477";"N2000meetnet_Grasland";"619506";9;"2016-08-25";"2016-08-25"
"IV2017013110020007";"N2000meetnet_Grasland";"340978";1017;"2016-08-25";"2016-08-25"
"IV2017020111393906";"N2000meetnet_Grasland";"340978";9;"2016-08-25";"2016-08-25"
"IV2017020116071546";"N2000meetnet_Grasland";"1711014";1017;"2016-08-23";"2016-08-23"
"IV2017020120160542";"N2000meetnet_Grasland";"1711014";9;"2016-08-23";"2016-08-23"
"IV2017020121010797";"N2000meetnet_Grasland";"3276198";1017;"2016-08-23";"2016-08-23"
"IV2017020121221303";"N2000meetnet_Grasland";"3276198";9;"2016-08-23";"2016-08-23"
"IV2017020211023566";"N2000meetnet_Grasland";"487606";1017;"2016-08-19";"2016-08-19"
"IV2017020211373000";"N2000meetnet_Grasland";"487606";9;"2016-08-19";"2016-08-19"
"IV2017020211533870";"N2000meetnet_Grasland";"606390";1017;"2016-08-19";"2016-08-19"
"IV2017020212290721";"N2000meetnet_Grasland";"606390";9;"2016-08-19";"2016-08-19"
"IV2017020308164723";"N2000meetnet_Grasland";"2173889";1017;"2016-08-30";"2016-08-30"
"IV2017020308555607";"N2000meetnet_Grasland";"2173889";9;"2016-08-30";"2016-08-30"
"IV2017020309175600";"N2000meetnet_Grasland";"4008897";1017;"2016-08-30";"2016-08-30"
"IV2017020309320429";"N2000meetnet_Grasland";"4008897";9;"2016-08-30";"2016-08-30"
"IV2017020309560065";"N2000meetnet_Grasland";"10766985";1017;"2016-06-09";"2016-06-09"
"IV2017020310250354";"N2000meetnet_Grasland";"10766985";9;"2016-06-09";"2016-06-09"
"IV2017020312255416";"N2000meetnet_Grasland";"398529";1017;"2016-06-28";"2016-06-28"
"IV2017020313004098";"N2000meetnet_Grasland";"398529";9;"2016-06-28";"2016-06-28"
"IV2017020815060283";"N2000meetnet_Grasland";"14029138";1017;"2015-06-04";"2015-06-04"
"IV2017020815451966";"N2000meetnet_Grasland";"14029138";9;"2015-06-04";"2015-06-04"
"IV2017020911173410";"N2000meetnet_Grasland";"20320594";1017;"2015-06-04";"2015-06-04"
"IV2017020912043705";"N2000meetnet_Grasland";"20320594";9;"2015-06-04";"2015-06-04"
"IV2017020914013322";"N2000meetnet_Grasland";"11366482";1017;"2015-06-03";"2015-06-03"
"IV2017020914342201";"N2000meetnet_Grasland";"11366482";9;"2015-06-03";"2015-06-03"
"IV2017020915002276";"N2000meetnet_Grasland";"4501586";1017;"2015-06-03";"2015-06-03"
"IV2017020916182461";"N2000meetnet_Grasland";"4501586";9;"2015-06-03";"2015-06-03"
"IV2017021009391220";"N2000meetnet_Grasland";"2468182";1017;"2015-05-29";"2015-05-29"
"IV2017021009570606";"N2000meetnet_Grasland";"2468182";9;"2015-05-29";"2015-05-29"
"IV2017021011171644";"N2000meetnet_Grasland";"4042038";1017;"2015-05-29";"2015-05-29"
"IV2017021011372088";"N2000meetnet_Grasland";"4042038";9;"2015-05-29";"2015-05-29"
"IV2017021012213856";"N2000meetnet_Grasland";"544902";1017;"2015-06-25";"2015-06-25"
"IV2017021012413096";"N2000meetnet_Grasland";"544902";9;"2015-06-25";"2015-06-25"
"IV2017021016462422";"N2000meetnet_Grasland";"1618054";1017;"2015-05-28";"2015-05-28"
"IV2017021017031808";"N2000meetnet_Grasland";"1618054";9;"2015-05-28";"2015-05-28"
"IV2017021017175886";"N2000meetnet_Grasland";"6152326";1017;"2015-05-28";"2015-05-28"
"IV2017021017402906";"N2000meetnet_Grasland";"6152326";9;"2015-05-28";"2015-05-28"
"IV2017021018002273";"N2000meetnet_Grasland";"1286278";1017;"2015-06-25";"2015-06-25"
"IV2017021018144986";"N2000meetnet_Grasland";"1286278";9;"2015-06-25";"2015-06-25"
"IV2017021310384624";"N2000meetnet_Grasland";"4975814";1017;"2015-06-19";"2015-06-19"
"IV2017021311152342";"N2000meetnet_Grasland";"4975814";9;"2015-06-19";"2015-06-19"
"IV2017021311505729";"N2000meetnet_Grasland";"4598982";1017;"2015-06-19";"2015-06-19"
"IV2017021312171588";"N2000meetnet_Grasland";"4598982";9;"2015-06-19";"2015-06-19"
"IV2017021312415166";"N2000meetnet_Grasland";"9087041";1017;"2015-07-10";"2015-07-10"
"IV2017021313081237";"N2000meetnet_Grasland";"9087041";9;"2015-07-10";"2015-07-10"
"IV2017021313300649";"N2000meetnet_Grasland";"2898758";1017;"2015-06-12";"2015-06-12"
"IV2017021314165316";"N2000meetnet_Grasland";"2898758";9;"2015-06-12";"2015-06-12"
"IV2017021314354987";"N2000meetnet_Grasland";"1022766";1017;"2015-06-10";"2015-06-10"
"IV2017021315595672";"N2000meetnet_Grasland";"1022766";9;"2015-06-10";"2015-06-10"
"IV2017021316192193";"N2000meetnet_Grasland";"1938478";1017;"2015-07-08";"2015-07-08"
"IV2017021316354132";"N2000meetnet_Grasland";"1938478";9;"2015-07-08";"2015-07-08"
"IV2017021316470293";"N2000meetnet_Grasland";"4851218";1017;"2015-06-23";"2015-06-23"
"IV2017021317143301";"N2000meetnet_Grasland";"4851218";9;"2015-06-23";"2015-06-23"
"IV2017021410455484";"N2000meetnet_Grasland";"3016210";1017;"2015-06-23";"2015-06-23"
"IV2017021411231990";"N2000meetnet_Grasland";"3016210";9;"2015-06-23";"2015-06-23"
"IV2017021413520341";"N2000meetnet_Grasland";"498886";1017;"2016-08-25";"2016-08-25"
"IV2017021414091295";"N2000meetnet_Grasland";"498886";9;"2016-08-25";"2016-08-25"
"IV2017021414213854";"N2000meetnet_Grasland";"654598";1017;"2016-08-25";"2016-08-25"
"IV2017021414350820";"N2000meetnet_Grasland";"654598";9;"2016-08-25";"2016-08-25"
"IV2017021414444810";"N2000meetnet_Grasland";"753630";1017;"2016-09-19";"2016-09-19"
"IV2017021415171476";"N2000meetnet_Grasland";"753630";9;"2016-09-19";"2016-09-19"
"IV2017021415415208";"N2000meetnet_Grasland";"979286";1017;"2016-08-24";"2016-08-24"
"IV2017021415534916";"N2000meetnet_Grasland";"1062930";1017;"2016-07-28";"2016-07-28"
"IV2017021415590760";"N2000meetnet_Grasland";"979286";9;"2016-08-24";"2016-08-24"
"IV2017021416061568";"N2000meetnet_Grasland";"1346134";1017;"2016-08-24";"2016-08-24"
"IV2017021416154407";"N2000meetnet_Grasland";"1062930";9;"2016-07-28";"2016-07-28"
"IV2017021416161173";"N2000meetnet_Grasland";"1346134";9;"2016-08-24";"2016-08-24"
"IV2017021416262329";"N2000meetnet_Grasland";"1474526";1017;"2016-08-04";"2016-08-04"
"IV2017021416585251";"N2000meetnet_Grasland";"1474526";9;"2016-08-04";"2016-08-04"
"IV2017021417070556";"N2000meetnet_Grasland";"1884126";1017;"2016-08-02";"2016-08-02"
"IV2017021417294457";"N2000meetnet_Grasland";"1884126";9;"2016-08-02";"2016-08-02"
"IV2017021510114273";"N2000meetnet_Grasland";"311262";1017;"2015-07-28";"2015-07-28"
"IV2017021511162976";"N2000meetnet_Grasland";"311262";9;"2015-07-28";"2015-07-28"
"IV2017021512174228";"N2000meetnet_Grasland";"3777298";1017;"2016-07-27";"2016-07-27"
"IV2017021513172295";"N2000meetnet_Grasland";"3777298";9;"2016-07-27";"2016-07-27"
"IV2017021521415567";"N2000meetnet_Grasland";"2552882";1017;"2016-07-13";"2016-07-13"
"IV2017021521571275";"N2000meetnet_Grasland";"2552882";9;"2016-07-13";"2016-07-13"
"IV2017021716013587";"N2000meetnet_Grasland";"4026418";1017;"2016-06-18";"2016-06-18"
"IV2017021717085050";"N2000meetnet_Grasland";"4026418";9;"2016-06-18";"2016-06-18"
"IV2017022009530029";"N2000meetnet_Grasland";"2371634";1017;"2016-07-18";"2016-07-18"
"IV2017022010250767";"N2000meetnet_Grasland";"2371634";9;"2016-07-18";"2016-07-18"
"IV2017022011083153";"N2000meetnet_Grasland";"1583446";1017;"2016-07-19";"2016-07-19"
"IV2017022011205318";"N2000meetnet_Grasland";"1583446";9;"2016-07-19";"2016-07-19"
"IV2017022012400428";"N2000meetnet_Grasland";"5783154";1017;"2016-07-12";"2016-07-12"
"IV2017022013121858";"N2000meetnet_Grasland";"5783154";9;"2016-07-12";"2016-07-12"
"IV2017022013575286";"N2000meetnet_Grasland";"414646";1017;"2015-08-18";"2015-08-18"
"IV2017022014150360";"N2000meetnet_Grasland";"414646";9;"2015-08-18";"2015-08-18"
"IV2017022015155634";"N2000meetnet_Grasland";"905382";1017;"2015-06-11";"2015-06-11"
"IV2017022015390187";"N2000meetnet_Grasland";"905382";9;"2015-06-11";"2015-06-11"
"IV2017022112283578";"N2000meetnet_Grasland";"3008870";1017;"2015-07-07";"2015-07-07"
"IV2017022112545290";"N2000meetnet_Grasland";"3008870";9;"2015-07-07";"2015-07-07"
"IV2017022115074420";"N2000meetnet_Grasland";"4057446";1017;"2015-07-07";"2015-07-07"
"IV2017022115375527";"N2000meetnet_Grasland";"4057446";9;"2015-07-07";"2015-07-07"
"IV2017022211082902";"N2000meetnet_Grasland";"3741830";1017;"2015-06-09";"2015-06-09"
"IV2017022211385297";"N2000meetnet_Grasland";"3741830";9;"2015-06-09";"2015-06-09"
"IV2017022212325377";"N2000meetnet_Grasland";"1156230";1017;"2015-06-09";"2015-06-09"
"IV2017022213011877";"N2000meetnet_Grasland";"1156230";9;"2015-06-09";"2015-06-09"
"IV2017022310474384";"N2000meetnet_Grasland";"2160774";1017;"2016-07-06";"2016-07-06"
"IV2017022315312444";"N2000meetnet_Grasland";"2160774";9;"2016-07-06";"2016-07-06"
"IV2017022316243012";"N2000meetnet_Grasland";"2839602";1017;"2016-06-08";"2016-06-08"
"IV2017022318064503";"N2000meetnet_Grasland";"2839602";9;"2016-06-08";"2016-06-08"
"IV2017022410260914";"N2000meetnet_Grasland";"742450";1017;"2016-06-16";"2016-06-16"
"IV2017022410371769";"N2000meetnet_Grasland";"742450";9;"2016-06-16";"2016-06-16"
"IV2017022411275584";"N2000meetnet_Grasland";"480306";1017;"2016-06-08";"2016-06-08"
"IV2017022412465341";"N2000meetnet_Grasland";"480306";9;"2016-06-08";"2016-06-08"
"IV2017022413245704";"N2000meetnet_Grasland";"2334002";1017;"2016-06-20";"2016-06-20"
"IV2017022413445592";"N2000meetnet_Grasland";"2334002";9;"2016-06-20";"2016-06-20"
"IV2017022414255992";"N2000meetnet_Grasland";"2479154";1017;"2016-06-16";"2016-06-16"
"IV2017022414402631";"N2000meetnet_Grasland";"2479154";9;"2016-06-16";"2016-06-16"
"IV2017022415170190";"N2000meetnet_Grasland";"143602";1017;"2016-07-01";"2016-07-01"
"IV2017022415353736";"N2000meetnet_Grasland";"143602";9;"2016-07-01";"2016-07-01"
"IV2017120117561385";"N2000meetnet_Grasland";"8121542";1017;"2017-05-29";"2017-05-29"
"IV2017120118231406";"N2000meetnet_Grasland";"8121542";9;"2017-05-29";"2017-05-29"
"IV2017120118342938";"N2000meetnet_Grasland";"7072966";1017;"2017-05-29";"2017-05-29"
"IV2017120118520910";"N2000meetnet_Grasland";"7072966";9;"2017-05-29";"2017-05-29"
"IV2017012612213288";"N2000meetnet_Moerassen";"696182";1017;"2016-09-20";"2016-09-20"
"IV2017012613110316";"N2000meetnet_Moerassen";"696182";9;"2016-09-20";"2016-09-20"
"IV2017012711062779";"N2000meetnet_Moerassen";"23086";1017;"2016-09-19";"2016-09-19"
"IV2017012711193298";"N2000meetnet_Moerassen";"23086";9;"2016-09-19";"2016-09-19"
"IV2017020318100730";"N2000meetnet_Moerassen";"282614";1017;"2016-09-14";"2016-09-14"
"IV2017020318234508";"N2000meetnet_Moerassen";"282614";9;"2016-09-14";"2016-09-14"
"IV2017020318315989";"N2000meetnet_Moerassen";"856054";1017;"2016-09-14";"2016-09-14"
"IV2017020318480754";"N2000meetnet_Moerassen";"856054";9;"2016-09-14";"2016-09-14"
"IV2017020318560367";"N2000meetnet_Moerassen";"170798";1017;"2016-09-13";"2016-09-13"
"IV2017020319064156";"N2000meetnet_Moerassen";"170798";9;"2016-09-13";"2016-09-13"
"IV2017020713102084";"N2000meetnet_Moerassen";"863862";1017;"2015-06-29";"2015-06-29"
"IV2017020714540212";"N2000meetnet_Moerassen";"863862";9;"2015-06-29";"2015-06-29"
"IV2017020813265807";"N2000meetnet_Moerassen";"1013294";1017;"2016-09-20";"2016-09-20"
"IV2017020813570832";"N2000meetnet_Moerassen";"1013294";9;"2016-09-20";"2016-09-20"
"IV2017020814143501";"N2000meetnet_Moerassen";"518902";1017;"2016-09-21";"2016-09-21"
"IV2017020814462786";"N2000meetnet_Moerassen";"518902";9;"2016-09-21";"2016-09-21"
"IV2017021511480087";"N2000meetnet_Moerassen";"880094";1017;"2016-10-07";"2016-10-07"
"IV2017021512035316";"N2000meetnet_Moerassen";"880094";9;"2016-10-07";"2016-10-07"
"IV2017021513022196";"N2000meetnet_Moerassen";"482290";1017;"2016-09-13";"2016-09-13"
"IV2017021513104974";"N2000meetnet_Moerassen";"482290";9;"2016-09-13";"2016-09-13"
"IV2017021513174412";"N2000meetnet_Moerassen";"267986";1017;"2016-09-13";"2016-09-13"
"IV2017021513305863";"N2000meetnet_Moerassen";"267986";9;"2016-09-13";"2016-09-13"
"IV2017021513460105";"N2000meetnet_Moerassen";"1388150";1017;"2015-06-29";"2015-06-29"
"IV2017021513582966";"N2000meetnet_Moerassen";"1388150";9;"2015-06-29";"2015-06-29"
"IV2017021514080638";"N2000meetnet_Moerassen";"923346";1017;"2016-09-13";"2016-09-13"
"IV2017021514480221";"N2000meetnet_Moerassen";"923346";9;"2016-09-13";"2016-09-13"
"IV2017021514542213";"N2000meetnet_Moerassen";"419538";1017;"2016-09-23";"2016-09-23"
"IV2017021515052872";"N2000meetnet_Moerassen";"419538";9;"2016-09-23";"2016-09-23"
"IV2017021515123500";"N2000meetnet_Moerassen";"943826";1017;"2016-09-28";"2016-09-28"
"IV2017021515263591";"N2000meetnet_Moerassen";"943826";9;"2016-09-28";"2016-09-28"
"IV2017021515354295";"N2000meetnet_Moerassen";"271030";1017;"2016-09-15";"2016-09-15"
"IV2017021515505552";"N2000meetnet_Moerassen";"271030";9;"2016-09-15";"2016-09-15"
"IV2017021515592266";"N2000meetnet_Moerassen";"103094";1017;"2016-09-15";"2016-09-15"
"IV2017021516075256";"N2000meetnet_Moerassen";"103094";9;"2016-09-15";"2016-09-15"
"IV2017021516164241";"N2000meetnet_Moerassen";"959958";1017;"2016-09-20";"2016-09-20"
"IV2017021516261649";"N2000meetnet_Moerassen";"959958";9;"2016-09-20";"2016-09-20"
"IV2017021710141595";"N2000meetnet_Moerassen";"1087350";1017;"2016-09-20";"2016-09-20"
"IV2017021710262223";"N2000meetnet_Moerassen";"1087350";9;"2016-09-20";"2016-09-20"
"IV2017021710412000";"N2000meetnet_Moerassen";"3219382";1017;"2015-09-21";"2015-09-21"
"IV2017021710534965";"N2000meetnet_Moerassen";"3219382";9;"2015-09-21";"2015-09-21"
"IV2017021712024375";"N2000meetnet_Moerassen";"1749942";1017;"2015-09-17";"2015-09-17"
"IV2017021712152647";"N2000meetnet_Moerassen";"1749942";9;"2015-09-17";"2015-09-17"
"IV2017021712211026";"N2000meetnet_Moerassen";"702674";1017;"2015-09-18";"2015-09-18"
"IV2017021712361732";"N2000meetnet_Moerassen";"702674";9;"2015-09-18";"2015-09-18"
"IV2017021712570028";"N2000meetnet_Moerassen";"3732406";1017;"2015-09-21";"2015-09-21"
"IV2017021713122588";"N2000meetnet_Moerassen";"3732406";9;"2015-09-21";"2015-09-21"
"IV2017021716250537";"N2000meetnet_Moerassen";"1635254";1017;"2015-09-21";"2015-09-21"
"IV2017021716440979";"N2000meetnet_Moerassen";"1635254";9;"2015-09-21";"2015-09-21"
"IV2017021716580390";"N2000meetnet_Moerassen";"2225078";1017;"2015-09-18";"2015-09-18"
"IV2017021717285026";"N2000meetnet_Moerassen";"2225078";9;"2015-09-18";"2015-09-18"
"IV2017022111070389";"N2000meetnet_Moerassen";"996278";1017;"2015-08-18";"2015-08-18"
"IV2017022111075784";"N2000meetnet_Moerassen";"996278";9;"2015-08-18";"2015-08-18"
"IV2017022111173825";"N2000meetnet_Moerassen";"1004470";1017;"2015-08-18";"2015-08-18"
"IV2017022111183354";"N2000meetnet_Moerassen";"1004470";9;"2015-08-18";"2015-08-18"
"IV2017112908192809";"N2000meetnet_Grasland_BHM";"1036446";1017;"2017-07-12";"2017-07-12"
"IV2017112908460816";"N2000meetnet_Grasland_BHM";"1036446";9;"2017-07-12";"2017-07-12"
"IV2017112912580483";"N2000meetnet_Grasland_BHM";"823129";9;"2017-07-10";"2017-07-10"
"IV2017112913404044";"N2000meetnet_Grasland_BHM";"1428270";1017;"2017-06-26";"2017-06-26"
