"recording_givid";"survery";"classif";"classif_type";"classif_key";"classif_description";"cover"
"IV2017010616490548";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"60"
"IV2017011212263384";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"30"
"IV2017011215122813";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"60"
"IV2017011312251730";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"30"
"IV2017011813083530";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"40"
"IV2017011813535331";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017021414350820";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012521020429";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017013015545827";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017013016040477";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017021414213854";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012613170767";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012613411763";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"20"
"IV2017012613530004";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017013011050597";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"60"
"IV2017013011553027";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012522232265";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012611170830";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012611360478";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012613001528";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012312531726";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012521104081";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012522043706";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"10"
"IV2017011916524752";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"90"
"IV2017011919322195";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"90"
"IV2017012013475483";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012013585970";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012312301685";"N2000meetnet_Grasland";"ha";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"80"
"IV2017021414213854";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"35"
"IV2017013015545827";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017020211533870";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"20"
"IV2017020212290721";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"20"
"IV2017012613411763";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"60"
"IV2017012611170830";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012613001528";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012312531726";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012521020429";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"50"
"IV2017012522043706";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"90"
"IV2017012312301685";"N2000meetnet_Grasland";"ha-";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"10"
"IV2017010613221989";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017011916524752";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"10"
"IV2017012012273378";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012012433410";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012013020416";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012013095674";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012015481765";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017012016215306";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017011919322195";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"10"
"IV2017012312301685";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"10"
"IV2017021012213856";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"98"
"IV2017021012413096";"N2000meetnet_Grasland";"ha+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem  ";"100"
"IV2017010611111454";"N2000meetnet_Grasland";"hab+";"BWK";"Ecotoop2001";"struisgrasvegetatie op zure bodem met struik- of boomopslag";"70"
"IV2017022012400428";"N2000meetnet_Grasland";"hc";"BWK";"Ecotoop2001";"vochtig, matig voedselrijk grasland (""dotterbloemhooiland"")";"15"
"IV2017021716013587";"N2000meetnet_Grasland";"hc-";"BWK";"Ecotoop2001";"vochtig, matig voedselrijk grasland (""dotterbloemhooiland"")";"70"
"IV2017022009530029";"N2000meetnet_Grasland";"hc-";"BWK";"Ecotoop2001";"vochtig, matig voedselrijk grasland (""dotterbloemhooiland"")";"60"
"IV2017022010250767";"N2000meetnet_Grasland";"hc-";"BWK";"Ecotoop2001";"vochtig, matig voedselrijk grasland (""dotterbloemhooiland"")";"60"
"IV2017020914013322";"N2000meetnet_Grasland";"hf";"BWK";"Ecotoop2001";"natte ruigte met Moerasspirea";"30"
"IV2017020915002276";"N2000meetnet_Grasland";"hf";"BWK";"Ecotoop2001";"natte ruigte met Moerasspirea";"10"
"IV2017021415534916";"N2000meetnet_Grasland";"hf";"BWK";"Ecotoop2001";"natte ruigte met Moerasspirea";"20"
"IV2017021521415567";"N2000meetnet_Grasland";"hf";"BWK";"Ecotoop2001";"natte ruigte met Moerasspirea";"40"
"IV2017020309560065";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"95"
"IV2017020310250354";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021009391220";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"55"
"IV2017021009570606";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021410455484";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021411231990";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021413520341";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"80"
"IV2017021414091295";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021416061568";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021416161173";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021016462422";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021017031808";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021018002273";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"50"
"IV2017021018144986";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017021316470293";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"80"
"IV2017021317143301";"N2000meetnet_Grasland";"hm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017012716313882";"N2000meetnet_Grasland";"hm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"60"
"IV2017012716564741";"N2000meetnet_Grasland";"hm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017022415170190";"N2000meetnet_Grasland";"hm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"30"
"IV2017022415353736";"N2000meetnet_Grasland";"hm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017020312255416";"N2000meetnet_Grasland";"hm+";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"50"
"IV2017020313004098";"N2000meetnet_Grasland";"hm+";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland";"100"
"IV2017020308164723";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017020308555607";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017020309175600";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017020309320429";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017021017175886";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"75"
"IV2017021017402906";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017022318064503";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017120117561385";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";NA
"IV2017120118231406";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017120118342938";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"50"
"IV2017120118520910";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017021313300649";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";NA
"IV2017022211082902";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"74"
"IV2017022211385297";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017022212325377";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"87"
"IV2017022213011877";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017022316243012";"N2000meetnet_Grasland";"hme";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"50"
"IV2017022411275584";"N2000meetnet_Grasland";"hme-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"50"
"IV2017021011171644";"N2000meetnet_Grasland";"hme+";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"80"
"IV2017021011372088";"N2000meetnet_Grasland";"hme+";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017021310384624";"N2000meetnet_Grasland";"hme+";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";NA
"IV2017021311152342";"N2000meetnet_Grasland";"hme+";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017021311505729";"N2000meetnet_Grasland";"hme+";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"50"
"IV2017021312171588";"N2000meetnet_Grasland";"hme+";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017021314165316";"N2000meetnet_Grasland";"hme+";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - eutroof type, basiclien ";"100"
"IV2017010915000761";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017010916362743";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017010922050123";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017010922225486";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022411275584";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"50"
"IV2017022412465341";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022115074420";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"78"
"IV2017022115375527";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022310474384";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"15"
"IV2017022012400428";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"30"
"IV2017022013121858";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022015155634";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"60"
"IV2017022015390187";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022112283578";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"95"
"IV2017022112545290";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022011083153";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"70"
"IV2017022011205318";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017021312415166";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"90"
"IV2017021313081237";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017021415534916";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"80"
"IV2017021416154407";"N2000meetnet_Grasland";"hmm";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017020116071546";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"5"
"IV2017020120160542";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"10"
"IV2017022414402631";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022410371769";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022413245704";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"80"
"IV2017022413445592";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022414255992";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"60"
"IV2017022310474384";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"40"
"IV2017022315312444";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017022410260914";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
"IV2017021716013587";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"10"
"IV2017021717085050";"N2000meetnet_Grasland";"hmm-";"BWK";"Ecotoop2001";"onbemest, vochtig pijpenstrootjesgrasland - mesotroof type ";"100"
